Bacia 1
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 12
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 13
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 14
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 15
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 16
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 17
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 18
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 19
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 3
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 4
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 5
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 6
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 7
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 8
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 9
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 10
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 11
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 12
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 13
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 14
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 15
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 16
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 17
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 1
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 2
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 3
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 4
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 5
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 6
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 7
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 8
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 9
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 10
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
FlorProf    -1.00000   0.04000   1.00000  -1.00000   1.00000
AgrRas      -1.00000   0.16400   1.00000  -1.00000   1.00000
AgrProf     -1.00000   0.16400   1.00000  -1.00000   1.00000
CampRas     -1.00000   0.00500   1.00000  -1.00000   1.00000
CampProf    -1.00000   0.00500   1.00000  -1.00000   1.00000
Varzea      -1.00000   0.00000   1.00000  -1.00000   1.00000
ASI         -1.00000   0.00100   1.00000  -1.00000   1.00000
Agua         0.00000   0.00000   0.00000  0.000000   0.00000
Bacia 11
      uso         K         C         P     Fgros      Ksdr
FlorRas     -1.00000   0.04000   1.00000  -1.00000   1.00000
